clube,jogosDisp,vitorias,empates,derrotas,golsMarcados,golsSofridos,ano
Palmeiras,38,23,11,4,64,26,2018
Flamengo,38,21,9,8,59,29,2018
Internacional,38,19,12,7,51,29,2018
Grêmio,38,18,12,8,48,27,2018
São Paulo,38,16,15,7,46,34,2018
Atlético Mineiro,38,17,8,13,56,43,2018
Atlético Paranaense,38,16,9,13,54,37,2018
Cruzeiro,38,14,11,13,34,34,2018
Botafogo,38,13,12,13,38,46,2018
Santos,38,13,11,14,46,40,2018
Bahia,38,12,12,14,39,41,2018
Fluminense,38,12,9,17,32,46,2018
Corinthians,38,11,11,16,34,35,2018
Chapecoense,38,11,11,16,34,50,2018
Ceará,38,10,14,14,32,38,2018
Vasco,38,10,13,15,41,48,2018
Sport,38,11,9,18,35,57,2018
América Mineiro,38,10,10,18,30,47,2018
Vitória,38,9,10,19,36,63,2018
Paraná,38,4,11,23,18,57,2018
Corinthians,38,21,9,8,50,30,2017
Palmeiras,38,19,6,13,61,45,2017
Santos,38,17,12,9,42,32,2017
Grêmio,38,18,8,12,55,36,2017
Cruzeiro,38,15,12,11,47,39,2017
Flamengo,38,15,11,12,49,38,2017
Vasco,38,15,11,12,40,47,2017
Chapecoense,38,15,9,14,47,49,2017
Atlético Mineiro,38,14,12,12,52,49,2017
Botafogo,38,14,11,13,45,42,2017
Atlético Paranaense,38,14,9,15,45,43,2017
Bahia,38,13,11,14,50,48,2017
São Paulo,38,13,11,14,48,49,2017
Fluminense,38,11,14,13,50,53,2017
Sport,38,12,9,17,46,58,2017
Vitória,38,11,10,17,50,58,2017
Coritiba,38,11,10,17,42,51,2017
Avaí,38,10,13,15,29,48,2017
Ponte Preta,38,10,9,19,37,52,2017
Atlético Goianiense,38,9,9,20,38,56,2017
Palmeiras,38,24,8,6,62,32,2016
Santos,38,22,5,11,59,35,2016
Flamengo,38,20,11,7,52,35,2016
Atlético Mineiro,38,17,11,10,61,53,2016
Botafogo,38,17,8,13,43,39,2016
Atlético Paranaense,38,17,6,15,38,32,2016
Corinthians,38,15,10,13,48,42,2016
Ponte Preta,38,15,8,15,48,52,2016
Grêmio,38,14,11,13,41,44,2016
São Paulo,38,14,10,14,44,36,2016
Chapecoense,38,13,13,12,49,56,2016
Cruzeiro,38,14,9,15,48,49,2016
Fluminense,38,13,11,14,45,45,2016
Sport,38,13,8,17,49,55,2016
Coritiba,38,11,13,14,41,42,2016
Vitória,38,12,9,17,51,53,2016
Internacional,38,11,10,17,35,41,2016
Figueirense,38,8,13,17,30,50,2016
Santa Cruz,38,8,7,23,45,69,2016
América Mineiro,38,7,7,24,23,58,2016
Corinthians,38,24,9,5,71,31,2015
Atlético Mineiro,38,21,6,11,65,47,2015
Grêmio,38,20,8,10,52,32,2015
São Paulo,38,18,8,12,53,47,2015
Internacional,38,17,9,12,39,38,2015
Sport,38,15,14,9,53,38,2015
Santos,38,16,10,12,59,41,2015
Cruzeiro,38,15,10,13,44,35,2015
Palmeiras,38,15,8,15,60,51,2015
Atlético Paranaense,38,14,9,15,43,48,2015
Ponte Preta,38,13,12,13,41,40,2015
Flamengo,38,15,4,19,45,53,2015
Fluminense,38,14,5,19,40,49,2015
Chapecoense,38,12,11,15,34,44,2015
Coritiba,38,11,11,16,31,42,2015
Figueirense,38,11,10,17,36,50,2015
Avaí,38,11,9,18,38,60,2015
Vasco,38,10,11,17,28,54,2015
Goiás,38,10,8,20,39,49,2015
Joinville,38,7,10,21,26,48,2015
Cruzeiro,38,24,8,6,67,38,2014
São Paulo,38,20,10,8,59,40,2014
Internacional,38,21,6,11,53,41,2014
Corinthians,38,19,12,7,49,31,2014
Atlético Mineiro,38,17,11,10,51,38,2014
Fluminense,38,17,10,11,61,42,2014
Grêmio,38,17,10,11,36,24,2014
Atlético Paranaense,38,15,9,14,43,42,2014
Santos,38,15,8,15,42,35,2014
Flamengo,38,14,10,14,46,47,2014
Sport,38,14,10,14,36,46,2014
Goiás,38,13,8,17,38,40,2014
Figueirense,38,13,8,17,37,47,2014
Coritiba,38,12,11,15,42,45,2014
Chapecoense,38,11,10,17,39,44,2014
Palmeiras,38,11,7,20,34,59,2014
Vitória,38,10,8,20,37,54,2014
Bahia,38,9,10,19,31,43,2014
Botafogo,38,9,7,22,31,48,2014
Criciúma,38,7,11,20,28,56,2014
Cruzeiro,38,23,7,8,77,37,2013
Grêmio,38,18,11,9,42,35,2013
Atlético Paranaense,38,18,10,10,65,49,2013
Botafogo,38,17,10,11,55,41,2013
Vitória,38,16,11,11,59,53,2013
Goiás,38,16,11,11,48,44,2013
Santos,38,15,12,11,51,38,2013
Atlético Mineiro,38,15,12,11,49,38,2013
São Paulo,38,14,8,16,39,40,2013
Corinthians,38,11,17,10,27,22,2013
Coritiba,38,12,12,14,42,45,2013
Bahia,38,12,12,14,37,45,2013
Internacional,38,11,15,12,51,52,2013
Criciúma,38,13,7,18,49,63,2013
Fluminense,38,12,10,16,43,47,2013
Flamengo,38,12,13,13,43,46,2013
Portuguesa,38,12,12,14,50,46,2013
Vasco,38,11,11,16,50,61,2013
Ponte Preta,38,9,10,19,37,55,2013
Náutico,38,5,5,28,22,79,2013
Fluminense,38,22,11,5,61,33,2012
Atlético Mineiro,38,20,12,6,64,37,2012
Grêmio,38,20,11,7,56,33,2012
São Paulo,38,20,6,12,59,37,2012
Vasco,38,16,10,12,45,44,2012
Corinthians,38,15,12,11,51,39,2012
Botafogo,38,15,10,13,60,50,2012
Santos,38,13,14,11,50,44,2012
Cruzeiro,38,15,7,16,47,51,2012
Internacional,38,13,13,12,44,40,2012
Flamengo,38,12,14,12,39,46,2012
Náutico,38,14,7,17,44,51,2012
Coritiba,38,14,6,18,53,60,2012
Ponte Preta,38,12,12,14,37,44,2012
Bahia,38,11,14,13,37,41,2012
Portuguesa,38,10,15,13,39,41,2012
Sport,38,10,11,17,39,56,2012
Palmeiras,38,9,7,22,39,54,2012
Atlético Goianiense,38,7,9,22,37,67,2012
Figueirense,38,7,9,22,39,72,2012
Corinthians,38,21,8,9,53,36,2011
Vasco,38,19,12,7,57,40,2011
Fluminense,38,20,3,15,60,51,2011
Flamengo,38,15,16,7,59,47,2011
Internacional,38,16,12,10,57,43,2011
São Paulo,38,16,11,11,57,46,2011
Figueirense,38,15,13,10,46,45,2011
Coritiba,38,16,9,13,57,41,2011
Botafogo,38,16,8,14,52,49,2011
Santos,38,15,8,15,55,55,2011
Palmeiras,38,11,17,10,43,39,2011
Grêmio,38,13,9,16,49,57,2011
Atlético Goianiense,38,12,12,14,50,45,2011
Bahia,38,11,13,14,43,49,2011
Atlético Mineiro,38,13,6,19,50,60,2011
Cruzeiro,38,11,10,17,48,51,2011
Atlético Paranaense,38,10,11,17,38,55,2011
Ceará,38,10,9,19,47,64,2011
América Mineiro,38,8,13,17,51,69,2011
Avaí,38,7,10,21,45,75,2011
Fluminense,38,20,11,7,62,36,2010
Cruzeiro,38,20,9,9,53,38,2010
Corinthians,38,19,11,8,65,41,2010
Grêmio,38,17,12,9,68,43,2010
Atlético-PR,38,17,9,12,43,45,2010
Botafogo,38,14,17,7,54,42,2010
Internacional,38,16,10,12,48,41,2010
Santos,38,15,11,12,63,50,2010
São Paulo,38,15,10,13,54,54,2010
Palmeiras,38,12,14,12,42,43,2010
Vasco,38,11,16,11,43,45,2010
Ceará,38,10,17,11,35,44,2010
Atlético-MG,38,13,6,19,52,64,2010
Flamengo,38,9,17,12,41,44,2010
Avaí,38,11,10,17,49,58,2010
Atlético-GO,38,11,9,18,51,57,2010
Vitória,38,9,15,14,42,48,2010
Guarani,38,8,13,17,33,53,2010
Goiás,38,8,9,21,41,68,2010
Grêmio Prudente,38,7,10,21,39,64,2010
Flamengo,38,19,10,9,58,44,2009
Internacional,38,19,8,11,65,44,2009
São Paulo,38,18,11,9,57,42,2009
Cruzeiro,38,18,8,12,58,53,2009
Palmeiras,38,17,11,10,58,45,2009
Avaí,38,15,12,11,61,52,2009
Atlético Mineiro,38,16,8,14,55,56,2009
Grêmio,38,15,10,13,67,46,2009
Goiás,38,15,10,13,64,65,2009
Corinthians,38,14,10,14,50,54,2009
Grêmio Barueri,38,12,13,13,59,52,2009
Santos,38,12,13,13,58,58,2009
Vitória,38,13,9,16,51,57,2009
Atlético Paranaense,38,13,9,16,42,49,2009
Botafogo,38,11,14,13,52,58,2009
Fluminense,38,11,13,14,49,56,2009
Coritiba,38,12,9,17,48,60,2009
Santo André,38,11,8,19,46,61,2009
Náutico,38,10,8,20,48,71,2009
Sport,38,7,10,21,48,71,2009
São Paulo,38,21,12,5,66,36,2008
Grêmio,38,21,9,8,59,35,2008
Cruzeiro,38,21,4,13,59,44,2008
Palmeiras,38,19,8,11,55,45,2008
Flamengo,38,18,10,10,67,48,2008
Internacional,38,15,9,14,48,47,2008
Botafogo,38,15,8,15,51,44,2008
Goiás,38,14,11,13,57,47,2008
Coritiba,38,14,11,13,55,48,2008
Vitória,38,15,7,16,48,44,2008
Sport,38,14,10,14,48,45,2008
Atlético Mineiro,38,12,12,14,50,61,2008
Atlético Paranaense,38,12,9,17,45,54,2008
Fluminense,38,11,12,15,49,48,2008
Santos,38,11,12,15,44,53,2008
Náutico,38,11,11,16,44,54,2008
Figueirense,38,11,11,16,49,73,2008
Vasco,38,11,7,20,56,72,2008
Portuguesa,38,9,11,18,48,70,2008
Ipatinga,38,9,8,21,37,67,2008
São Paulo,38,23,8,7,55,19,2007
Santos,38,19,5,14,57,47,2007
Flamengo,38,17,10,11,55,49,2007
Fluminense,38,16,13,9,57,39,2007
Cruzeiro,38,18,6,14,73,58,2007
Grêmio,38,17,7,14,44,43,2007
Palmeiras,38,16,10,12,48,47,2007
Atlético Mineiro,38,15,10,13,63,51,2007
Botafogo,38,14,13,11,62,58,2007
Vasco,38,15,9,14,58,47,2007
Internacional,38,15,9,14,49,44,2007
Atlético Paranaense,38,14,12,12,51,50,2007
Figueirense,38,14,11,13,57,56,2007
Sport,38,14,9,15,54,55,2007
Náutico,38,14,7,17,66,63,2007
Goiás,38,13,6,19,49,62,2007
Corinthians,38,10,14,14,40,50,2007
Juventude,38,11,8,19,43,65,2007
Paraná,38,11,8,19,42,64,2007
América-RN,38,4,5,29,24,80,2007
São Paulo,38,22,12,4,66,32,2006
Internacional,38,20,9,9,52,36,2006
Grêmio,38,20,7,11,64,45,2006
Santos,38,18,10,10,58,36,2006
Paraná,38,18,6,14,56,49,2006
Vasco,38,15,14,9,57,50,2006
Figueirense,38,15,12,11,52,44,2006
Goiás,38,15,10,13,63,49,2006
Cruzeiro,38,14,11,13,52,45,2006
Corinthians,38,15,8,15,41,46,2006
Flamengo,38,15,7,16,44,48,2006
Botafogo,38,13,12,13,52,50,2006
Atlético Paranaense,38,13,9,16,61,62,2006
Juventude,38,13,8,17,44,54,2006
Fluminense,38,11,12,15,48,58,2006
Palmeiras,38,12,8,18,58,70,2006
Ponte Preta,38,10,9,19,45,65,2006
Fortaleza,38,8,14,16,39,62,2006
São Caetano,38,9,9,20,37,53,2006
Santa Cruz,38,7,7,24,41,76,2006
Corinthians,42,24,9,9,87,59,2005
Internacional,42,23,9,10,72,49,2005
Goiás,42,22,8,12,68,51,2005
Palmeiras,42,20,10,12,81,65,2005
Fluminense,42,19,11,12,79,70,2005
Atlético Paranaense,42,18,7,17,76,67,2005
Paraná,42,17,10,15,59,51,2005
Cruzeiro,42,17,9,16,73,72,2005
Botafogo,42,17,8,17,57,56,2005
Santos,42,16,11,15,68,71,2005
São Paulo,42,16,10,16,77,67,2005
Vasco,42,15,11,16,74,84,2005
Fortaleza,42,16,7,19,58,64,2005
Juventude,42,15,10,17,66,72,2005
Flamengo,42,14,13,15,56,60,2005
Figueirense,42,14,11,17,65,72,2005
São Caetano,42,14,10,18,54,60,2005
Ponte Preta,42,15,6,21,63,80,2005
Coritiba,42,13,10,19,51,60,2005
Atlético Mineiro,42,13,8,21,54,59,2005
Santos,46,27,8,11,103,58,2004
Atlético Paranaense,46,25,11,10,93,56,2004
São Paulo,46,24,10,12,78,43,2004
Palmeiras,46,22,13,11,72,47,2004
Corinthians,46,20,14,12,54,54,2004
Goiás,46,21,9,16,81,68,2004
Juventude,46,20,10,16,60,66,2004
Internacional,46,20,7,19,66,59,2004
Fluminense,46,18,13,15,65,68,2004
Ponte Preta,46,19,7,20,43,73,2004
Figueirense,46,17,12,17,57,59,2004
Coritiba,46,15,17,14,53,48,2004
Cruzeiro,46,16,8,22,69,81,2004
Paysandu,46,14,14,18,56,76,2004
Paraná,46,15,9,22,52,73,2004
Vasco,46,14,12,20,64,68,2004
Flamengo,46,13,15,18,51,53,2004
São Caetano,46,23,8,15,65,49,2004
Atlético Mineiro,46,12,17,17,60,66,2004
Botafogo,46,11,18,17,62,71,2004
Cruzeiro,46,31,7,8,102,47,2003
Santos,46,25,12,9,93,60,2003
São Paulo,46,22,12,12,81,67,2003
São Caetano,46,19,14,13,53,37,2003
Coritiba,46,21,10,15,67,58,2003
Atlético Mineiro,46,19,15,12,76,62,2003
Internacional,46,20,10,16,59,57,2003
Flamengo,46,18,12,16,66,73,2003
Goiás,46,18,11,17,78,63,2003
Paraná,46,18,11,17,85,75,2003
Figueirense,46,17,14,15,62,54,2003
Atlético Paranaense,46,17,10,19,67,72,2003
Guarani,46,17,10,19,64,72,2003
Criciúma,46,17,9,20,57,69,2003
Corinthians,46,15,12,19,61,63,2003
Vitória,46,15,11,20,50,64,2003
Vasco,46,13,15,18,57,69,2003
Juventude,46,12,14,20,55,70,2003
Fluminense,46,13,11,22,52,77,2003
Ponte Preta,46,11,18,17,63,73,2003
Santos,25,16,4,5,57,35,2002
Corinthians,25,14,5,6,42,28,2002
Santos,25,12,7,6,37,35,2002
Grêmio,25,11,8,6,39,29,2002
Fluminense,25,12,5,8,34,30,2002
Corinthians,25,12,4,9,49,43,2002
Atlético Mineiro,25,12,4,9,43,46,2002
Corinthians,25,11,6,8,46,36,2002
Grêmio,25,11,6,8,40,39,2002
Juventude,25,11,4,10,46,42,2002
Santos,25,10,6,9,42,39,2002
São Paulo,25,11,3,11,34,34,2002
Fluminense,25,9,7,9,39,33,2002
São Caetano,25,10,4,11,35,34,2002
São Paulo,25,10,3,12,37,38,2002
São Caetano,25,9,6,10,32,35,2002
Corinthians,25,9,4,12,34,43,2002
Grêmio,25,8,6,11,38,39,2002
Juventude,25,8,6,11,35,37,2002
Atlético Mineiro,25,7,8,10,36,37,2002
Atlético Paranaense,27,18,5,4,48,25,2001
São Caetano,27,15,6,6,58,40,2001
,27,14,9,4,44,29,2001
Fluminense,27,15,4,8,50,34,2001
,27,14,5,8,39,29,2001
Atlético Mineiro,27,13,8,6,53,48,2001
,27,13,7,7,48,34,2001
Grêmio,27,13,6,8,43,38,2001
,27,12,4,11,38,40,2001
Ponte Preta,27,10,9,8,57,36,2001
,27,12,3,12,38,32,2001
São Paulo,27,12,2,13,40,47,2001
São Caetano,27,11,4,12,31,33,2001
Bahia,27,9,9,9,37,32,2001
São Caetano,27,11,3,13,35,37,2001
Atlético Paranaense,27,9,9,9,33,37,2001
Fluminense,27,9,8,10,31,32,2001
Atlético Mineiro,27,9,7,11,46,45,2001
Grêmio,27,8,9,10,40,34,2001
Ponte Preta,27,9,6,12,29,45,2001
São Caetano,24,12,9,3,46,27,2000
Vasco,24,12,6,6,46,27,2000
São Caetano,24,12,6,6,45,31,2000
Grêmio,24,11,8,5,41,29,2000
Vasco,24,11,6,7,36,37,2000
Cruzeiro,24,10,9,5,46,35,2000
Internacional,24,11,5,8,49,37,2000
Cruzeiro,24,11,5,8,32,28,2000
Grêmio,24,10,8,6,34,25,2000
Sport,24,10,7,7,37,31,2000
Palmeiras,24,10,7,7,29,30,2000
São Caetano,24,10,6,8,32,31,2000
Vasco,24,9,8,7,29,29,2000
Paraná,24,9,6,9,38,31,2000
Internacional,24,9,6,9,42,37,2000
Atlético Paranaense,24,9,5,10,31,35,2000
Paraná,24,9,5,10,34,43,2000
Goiás,24,9,4,11,44,40,2000
Remo,24,7,6,11,26,35,2000
Sport,24,7,6,11,31,42,2000
Atlético Mineiro,21,14,2,5,49,31,1999
Corinthians,21,12,6,3,46,32,1999
São Paulo,21,10,6,5,33,23,1999
Corinthians,21,10,5,6,23,16,1999
Atlético Mineiro,21,10,4,7,31,33,1999
Vitória,21,10,3,8,39,30,1999
Guarani,21,10,3,8,31,22,1999
Corinthians,21,9,4,8,36,31,1999
Atlético Mineiro,21,8,7,6,36,23,1999
Cruzeiro,21,11,1,9,35,24,1999
Vitória,21,8,6,7,25,26,1999
Vasco,21,9,2,10,30,33,1999
São Paulo,21,7,8,6,31,29,1999
Ponte Preta,21,8,2,11,23,37,1999
Corinthians,21,7,5,9,24,29,1999
Cruzeiro,21,7,3,11,18,26,1999
Vasco,21,6,6,9,23,29,1999
Ponte Preta,21,5,6,10,27,38,1999
Vitória,21,6,4,11,24,43,1999
Atlético Mineiro,21,5,7,9,18,32,1999
Cruzeiro,23,14,4,5,46,30,1998
Corinthians,23,14,3,6,46,32,1998
Cruzeiro,23,11,9,3,32,26,1998
Portuguesa,23,11,8,4,46,29,1998
Santos,23,12,4,7,34,22,1998
Corinthians,23,11,7,5,44,34,1998
Cruzeiro,23,10,7,6,42,28,1998
Palmeiras,23,10,6,7,32,30,1998
Grêmio,23,9,9,5,38,33,1998
Corinthians,23,9,7,7,34,24,1998
Portuguesa,23,9,6,8,37,34,1998
Coritiba,23,9,5,9,25,25,1998
Sport,23,9,3,11,31,38,1998
Santos,23,7,8,8,35,37,1998
Corinthians,23,8,3,12,34,35,1998
Palmeiras,23,7,6,10,32,32,1998
Coritiba,23,7,5,11,25,34,1998
Santos,23,6,8,9,24,32,1998
Sport,23,6,7,10,34,39,1998
Portuguesa,23,7,3,13,25,41,1998
Palmeiras,25,17,3,5,55,32,1997
Vasco,25,15,6,4,52,21,1997
Vasco,25,14,5,6,42,33,1997
Internacional,25,12,9,4,45,28,1997
Atlético Mineiro,25,12,6,7,30,24,1997
Portuguesa,25,12,5,8,39,33,1997
Flamengo,25,10,10,5,47,24,1997
Santos,25,9,10,6,24,20,1997
Palmeiras,25,9,9,7,44,40,1997
Juventude,25,8,10,7,32,32,1997
Vitória,25,9,6,10,34,32,1997
Botafogo,25,9,6,10,37,41,1997
Sport,25,8,9,8,41,32,1997
Atlético Paranaense,25,8,8,9,30,30,1997
São Paulo,25,7,10,8,34,47,1997
Paraná,25,7,9,9,31,32,1997
Grêmio,25,7,9,9,31,40,1997
Coritiba,25,8,5,12,23,27,1997
América-RN,25,8,4,13,30,40,1997
